item_idS1	item433		0.89783
item_idS2	item853		0.964655
item_idS3	item874		0.922089
item_idS4	item239		0.958869
item_idS5	item45		0.929712
item_idS6	item550		0.824983
item_idS7	item92		0.960416
item_idS8	item733		0.905267
item_idS9	item370		1.02427
item_idS10	item449		1.03476
item_idS11	item39		0.999408
item_idS12	item823		0.984217
item_idS13	item451		1.01133
item_idS14	item336		0.880952
item_idS15	item418		1.04237
item_idS16	item941		1.02467
item_idS17	item749		1.06846
item_idS18	item604		1.07267
item_idS19	item593		0.881393
item_idS20	item142		0.876973
item_idS21	item98		0.839179
item_idS22	item49		0.933659
item_idS23	item204		1.06014
item_idS24	item288		0.859009
item_idS25	item219		1.02088
item_idS26	item372		0.883286
item_idS27	item291		1.02183
item_idS28	item290		1.0427
item_idS29	item369		1.06364
item_idS30	item529		1.02372
