item_idS1	item658		7
item_idS2	item816		2
item_idS3	item344		6
item_idS4	item758		8
item_idS5	item870		5
item_idS6	item397		8
item_idS7	item344		6
item_idS8	item524		6
item_idS9	item717		7
item_idS10	item179		10
item_idS11	item767		9
item_idS12	item867		6
item_idS13	item816		4
item_idS14	item360		6
item_idS15	item268		7
item_idS16	item183		2
item_idS17	item408		6
item_idS18	item633		3
item_idS19	item912		8
item_idS20	item418		6
item_idS21	item397		8
item_idS22	item183		6
item_idS23	item104		3
item_idS24	item130		4
item_idS25	item925		9
item_idS26	item793		5
item_idS27	item558		8
item_idS28	item496		10
item_idS29	item220		8
item_idS30	item83		9
